,anom,cloud,lat,long,pbl,sat_alt,sat_lat,sat_long,sza,time
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,-2147483647,,-65.98241424560547,38.68185043334961,-1.2676506002282294e+30,851059.3125,-62.36330795288086,66.32769775390625,86.88207244873047,b'2013-07-18T10:07:29.876459Z'
1,-2147483647,,-65.531494140625,43.17420959472656,-1.2676506002282294e+30,850919.0625,-61.94682693481445,65.9910659790039,86.7859115600586,b'2013-07-18T10:07:37.364640Z'
2,-2147483647,,-65.18301391601562,46.18850326538086,-1.2676506002282294e+30,850776.875,-61.529640197753906,65.66263580322266,86.75521850585938,b'2013-07-18T10:07:44.853002Z'
3,-2147483647,,-64.87389373779297,48.67169189453125,-1.2676506002282294e+30,850633.125,-61.11179733276367,65.3420639038086,86.75749206542969,b'2013-07-18T10:07:52.341301Z'
4,-2147483647,,-64.59904479980469,50.78274154663086,-1.2676506002282294e+30,850487.8125,-60.69331741333008,65.02902221679688,86.78315734863281,b'2013-07-18T10:07:59.829558Z'
5,-2147483647,,-64.35277557373047,52.62087631225586,-1.2676506002282294e+30,850340.875,-60.27422332763672,64.72320556640625,86.82554626464844,b'2013-07-18T10:08:07.317841Z'
6,-2147483647,,-64.12992858886719,54.25211715698242,-1.2676506002282294e+30,850192.375,-59.85454177856445,64.42431640625,86.87993621826172,b'2013-07-18T10:08:14.806110Z'
7,-2147483647,,-63.92605972290039,55.72260665893555,-1.2676506002282294e+30,850042.375,-59.434295654296875,64.13207244873047,86.94294738769531,b'2013-07-18T10:08:22.294395Z'
8,-2147483647,,-63.737483978271484,57.065921783447266,-1.2676506002282294e+30,849890.8125,-59.01350021362305,63.846221923828125,87.01216125488281,b'2013-07-18T10:08:29.782663Z'
9,-2147483647,,-63.561134338378906,58.307342529296875,-1.2676506002282294e+30,849737.875,-58.592185974121094,63.56650161743164,87.08585357666016,b'2013-07-18T10:08:37.270947Z'
10,-2147483647,,-63.394466400146484,59.46646499633789,-1.2676506002282294e+30,849583.5625,-58.17036056518555,63.29267883300781,87.16280364990234,b'2013-07-18T10:08:44.759219Z'
11,-2147483647,,-63.2353515625,60.55891036987305,-1.2676506002282294e+30,849427.875,-57.748050689697266,63.0245246887207,87.24217224121094,b'2013-07-18T10:08:52.247503Z'
12,-2147483647,,-63.082000732421875,61.59743881225586,-1.2676506002282294e+30,849270.6875,-57.32526779174805,62.7618293762207,87.32342529296875,b'2013-07-18T10:08:59.735773Z'
13,-2147483647,,-62.93287658691406,62.59274673461914,-1.2676506002282294e+30,849112.125,-56.90203094482422,62.50437545776367,87.40621185302734,b'2013-07-18T10:09:07.224052Z'
14,-2147483647,,-62.7866325378418,63.554012298583984,-1.2676506002282294e+30,848952.3125,-56.478355407714844,62.251976013183594,87.49037170410156,b'2013-07-18T10:09:14.712323Z'
15,-2147483647,,-62.64208984375,64.48931121826172,-1.2676506002282294e+30,848791.3125,-56.054256439208984,62.00444412231445,87.57583618164062,b'2013-07-18T10:09:22.200604Z'
16,-2147483647,,-62.4981575012207,65.40594482421875,-1.2676506002282294e+30,848628.8125,-55.6297492980957,61.761600494384766,87.66265106201172,b'2013-07-18T10:09:29.688874Z'
17,-2147483647,,-62.397064208984375,66.03999328613281,-1.2676506002282294e+30,848465.0,-55.204837799072266,61.52327346801758,87.72413635253906,b'2013-07-18T10:09:37.177173Z'
18,-2147483647,,-62.324703216552734,66.4906997680664,-1.2676506002282294e+30,848300.4375,-54.7795524597168,61.289306640625,87.76863098144531,b'2013-07-18T10:09:44.665429Z'
19,-2147483647,,-62.208133697509766,67.21001434326172,-1.2676506002282294e+30,848134.4375,-54.353885650634766,61.059539794921875,87.84069061279297,b'2013-07-18T10:09:52.153727Z'
20,-2147483647,,-62.060123443603516,68.11027526855469,-1.2676506002282294e+30,847967.625,-53.9278678894043,60.833831787109375,87.93209075927734,b'2013-07-18T10:09:59.641983Z'
21,-2147483647,,-61.908817291259766,69.01789855957031,-1.2676506002282294e+30,847799.3125,-53.50149154663086,60.61203384399414,88.02508544921875,b'2013-07-18T10:10:07.130264Z'
22,-2147483647,,-61.75320053100586,69.93958282470703,-1.2676506002282294e+30,847629.9375,-53.07477951049805,60.39401626586914,88.11949157714844,b'2013-07-18T10:10:14.618534Z'
23,-2147483647,,-61.59217834472656,70.88252258300781,-1.2676506002282294e+30,847459.875,-52.647743225097656,60.17964553833008,88.21473693847656,b'2013-07-18T10:10:22.106817Z'
24,-2147483647,,-61.424537658691406,71.85462188720703,-1.2676506002282294e+30,847288.6875,-52.22038269042969,59.96879959106445,88.3096694946289,b'2013-07-18T10:10:29.595101Z'
25,-2147483647,,-61.24888229370117,72.86483001708984,-1.2676506002282294e+30,847116.4375,-51.7927131652832,59.7613639831543,88.40206909179688,b'2013-07-18T10:10:37.083385Z'
26,-2147483647,,-61.063575744628906,73.92354583740234,-1.2676506002282294e+30,846943.1875,-51.364742279052734,59.557228088378906,88.48793029785156,b'2013-07-18T10:10:44.571652Z'
27,-2147483647,,-60.86661911010742,75.04312133789062,-1.2676506002282294e+30,846769.25,-50.93647766113281,59.35627365112305,88.56044006347656,b'2013-07-18T10:10:52.059936Z'
28,-2147483647,,-60.65549850463867,76.23859405517578,-1.2676506002282294e+30,846594.375,-50.50792694091797,59.15840148925781,88.60852813720703,b'2013-07-18T10:10:59.548203Z'
29,-2147483647,,-60.42691421508789,77.52875518798828,-1.2676506002282294e+30,846418.6875,-50.0791015625,58.9635124206543,90.096923828125,b'2013-07-18T10:11:07.036495Z'
